;incollection:ID;author:string[];author-orcid:string[];booktitle:string;cdrom:string;chapter:int;cite:string[];cite-label:string[];crossref:string;ee:string[];ee-type:string[];i:string[];key:string;mdate:date;note:string;number:string;pages:string;publisher:string;publisher-href:string;publtype:string;sub:string[];sup:string[];title:string;url:string;year:int
22671;23370;;;Encyclopedia of Database Systems;;;;;reference/db/2009;https://doi.org/10.1007/978-0-387-39940-9_3510;;;reference/db/X09xxw;2017-07-12;;;2468;;;encyclopedia;;;SATA.;db/reference/db/s.html#X09xxw;2009
50446;2877591;Jim Pinto;;Computation for Humanity;;;;;books/crc/14/ZM2014;;;;books/crc/14/Pinto14;2020-05-30;;;449-464;;;;;;Evolution of the Techno-Human.;db/books/collections/ZM2014.html#Pinto14;2014
63677;2895314;Barry Smyth|Paul Cotter;;Web Dynamics;;;;;books/sp/webDyn04;;;;books/sp/webDyn2004/SmythC04;2005-01-03;;;411-434;;;;;3;MP;db/books/collections/webDyn2004.html#SmythC04;2004
28061;2840075;Alexandre Benoît|Georges Quénot|Hervé Bredin|Patrick Lambert|Sabin Tiberius Strat;;Fusion in Computer Vision;;;;;series/acvpr/978-3-319-05695-1;https://doi.org/10.1007/978-3-319-05696-8_3;;;series/acvpr/StratBLBQ14;2020-04-03;;;53-77;;;;;;Hierarchical Late Fusion for Concept Detection in Videos.;db/series/acvpr/fusion2014.html#StratBLBQ14;2014
40397;2856021;Adnan Khashman|Boran Sekeroglu|Kamil Dimililer;0000-0001-7284-1173|0000-0002-2751-0479;Analysis and Design of Intelligent Systems using Soft Computing Techniques;;;;;series/asc/2007-41;https://doi.org/10.1007/978-3-540-72432-2_29;;;series/asc/KhashmanSD07;2020-06-15;;;290-297;;;;;;Rotated Coin Recognition Using Neural Networks.;db/series/asc/asc41.html#KhashmanSD07;2007
3246;3851;Mohammad Ilyas|Syed Ahson;;Encyclopedia of Wireless and Mobile Communications;;;;;;http://www.crcnetbase.com/doi/abs/10.1081/E-EWMC-120043601;;;reference/tf/AhsonI08;2017-07-12;;;;;;encyclopedia;;;Smart Phones.;db/reference/tf/ewmc2008.html#AhsonI08;2008
34640;2847422;Pawel Tadejko|Waldemar Rakowski;0000-0001-9517-6444|0000-0003-1136-7513;Towards Modern Collaborative Knowledge Sharing Systems;;;;;series/sci/2012-401;https://doi.org/10.1007/978-3-642-27446-6_9;;;series/sci/TadejkoR12;2019-10-19;;;101-117;;;;;;Singularities Detection System Design for Automatic Analysis of Biomedical Signals and Machine Condition Monitoring and Fault Diagnostics.;db/series/sci/sci401.html#TadejkoR12;2012
12618;13269;Ilya Zaslavsky;;Encyclopedia of GIS;;;;;reference/gis/2017;https://doi.org/10.1007/978-3-319-17885-1_233;;;reference/gis/Zaslavsky17;2017-07-12;;;395-399;;;encyclopedia;;;Cyberinfrastructure for Spatial Data Integration.;db/reference/gis/gis2017.html#Zaslavsky17;2017
9018;9665;;;Encyclopedia of Machine Learning;;;;;reference/ml/2010;https://doi.org/10.1007/978-0-387-30164-8_170;;;reference/ml/X10ds;2017-07-12;;;226;;;encyclopedia;;;Contextual Advertising.;db/reference/ml/ml2010.html#X10ds;2010
32652;2845244;Patcharee Maneerat|Sa-Aat Niwitpong|Suparat Niwitpong;0000-0003-2145-9657;Structural Changes and their Econometric Modeling;;;;;series/sci/808;https://doi.org/10.1007/978-3-030-04263-9_20;;;series/sci/ManeeratNN19;2021-10-14;;;264-274;;;;;;Confidence Intervals for the Mean of Delta-Lognormal Distribution.;db/series/sci/sci808.html#ManeeratNN19;2019
